country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,tier_I,tier_II,tier_III,tier_IV,has_tier_info,num_cooling_technologies,region
Comoros,0.6931471805599453,0.0,0.6931471805599453,10.308985993422082,2.772588722239781,19.14,27.0,5.602118820879701,0.0,0.0,1.0,0.0,0.0,3.0,Africa
"Congo, Democratic Republic of the",1.0986122886681098,0.0,1.0986122886681098,10.235628996225449,2.772588722239781,22.540000000000003,25.0,2.3978952727983707,0.0,0.0,1.0,0.0,1.0,3.0,Africa
"Congo, Republic of the",1.0986122886681098,0.0,1.0986122886681098,8.219056661060598,2.772588722239781,25.74,30.0,2.1972245773362196,0.0,0.0,1.0,0.0,1.0,3.0,Africa
Costa Rica,2.3978952727983707,0.0,2.3978952727983707,12.58711527122619,2.772588722239781,37.96,95.0,2.3978952727983707,0.0,0.0,1.0,0.0,1.0,3.0,Latin America
Côte d’Ivoire,1.791759469228055,0.0,1.791759469228055,11.896581133480735,2.772588722239781,16.979999999999997,38.0,2.5649493574615367,0.0,0.0,1.0,0.0,1.0,3.0,Africa
Croatia,2.9444389791664403,0.0,2.9444389791664403,11.530342897007296,2.772588722239781,37.96,90.0,1.791759469228055,0.0,0.0,1.0,0.0,1.0,3.0,Europe
Cuba,0.6931471805599453,0.0,0.6931471805599453,10.308985993422082,2.772588722239781,68.82,68.0,6.529418838262226,0.0,0.0,1.0,0.0,0.0,3.0,Latin America
Cyprus,1.0986122886681098,0.0,1.0986122886681098,9.472781556562168,2.772588722239781,37.96,95.0,2.1972245773362196,0.0,0.0,1.0,0.0,1.0,3.0,Europe
Czechia,3.6109179126442243,0.0,3.6109179126442243,12.779875885354993,2.772588722239781,38.156,92.0,1.9459101490553132,0.0,0.0,1.0,0.0,1.0,3.0,Europe
Denmark,3.7612001156935624,0.0,3.7612001156935624,13.910821646859095,2.772588722239781,0.3560000000000016,99.0,2.3513752571634776,0.0,0.0,1.0,0.0,1.0,3.0,Europe
Djibouti,0.6931471805599453,0.0,0.6931471805599453,10.308985993422082,2.772588722239781,35.4,65.0,2.3978952727983707,0.0,0.0,1.0,0.0,1.0,3.0,Africa
Dominica,0.6931471805599453,0.0,0.6931471805599453,10.308985993422082,2.772588722239781,46.0,83.0,5.831002324666921,0.0,0.0,1.0,0.0,0.0,3.0,Latin America
Dominican Republic,0.6931471805599453,0.0,0.6931471805599453,7.785305182539862,2.772588722239781,51.02,74.0,2.0794415416798357,0.0,0.0,0.0,1.0,1.0,3.0,Latin America
Ecuador,2.0794415416798357,0.0,1.6094379124341003,10.389026137075234,1.791759469228055,32.5,84.0,5.993961427306569,0.0,1.0,0.0,0.0,1.0,2.0,Latin America
Egypt,2.0794415416798357,0.0,1.6094379124341003,10.308985993422082,1.791759469228055,32.5,82.0,2.2512917986064953,0.0,1.0,0.0,0.0,1.0,2.0,Middle East
El Salvador,1.3862943611198906,0.0,1.3862943611198906,10.021315031649332,1.3862943611198906,25.0,77.0,2.0149030205422647,0.0,1.0,0.0,0.0,1.0,1.0,Latin America
Equatorial Guinea,0.6931471805599453,0.0,0.6931471805599453,8.922791623969637,0.6931471805599453,12.0,45.0,5.707110264748875,0.0,1.0,0.0,0.0,1.0,1.0,Africa
Eritrea,0.6931471805599453,0.0,0.6931471805599453,8.699681400989514,0.6931471805599453,10.0,40.0,5.303304908059076,0.0,1.0,0.0,0.0,1.0,1.0,Africa
Estonia,2.5649493574615367,0.6931471805599453,2.0794415416798357,11.082157933374816,3.044522437723423,45.0,88.0,6.68586094706836,0.0,0.0,1.0,1.0,1.0,1.0,Europe
Eswatini,1.0986122886681098,0.0,0.6931471805599453,8.987321812850125,0.6931471805599453,10.0,32.0,5.707110264748875,0.0,1.0,0.0,0.0,1.0,1.0,Africa
Ethiopia,1.0986122886681098,0.0,1.0986122886681098,9.392745258631441,1.3862943611198906,15.0,25.0,5.993961427306569,0.0,1.0,0.0,0.0,1.0,1.0,Africa
Fiji,1.0986122886681098,0.0,0.6931471805599453,8.853808274977197,0.6931471805599453,20.0,55.0,5.707110264748875,0.0,1.0,0.0,0.0,1.0,1.0,Oceania
Finland,3.258096538021482,1.6094379124341003,2.772588722239781,11.695255355062795,4.51085950651685,60.0,94.0,7.0909098220799835,0.0,0.0,1.0,1.0,1.0,1.0,Europe
