country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,tier_I,tier_II,tier_III,tier_IV,has_tier_info,num_cooling_technologies,region
Suriname,0.6931471805599453,0.0,0.6931471805599453,9.210440366976517,0.6931471805599453,78.4,78.4,4.51085950651685,0.0,0.0,1.0,0.0,1.0,5.0,Latin America
Syria,1.0986122886681098,0.0,1.0986122886681098,9.680406499268875,0.6931471805599453,35.8,13.0,5.568955004390559,0.0,1.0,0.0,0.0,1.0,4.0,Middle East
Tajikistan,0.6931471805599453,0.0,0.6931471805599453,9.210440366976517,0.6931471805599453,56.8,56.8,4.51085950651685,0.0,1.0,0.0,0.0,1.0,4.0,Asia
Tanzania,1.3862943611198906,0.0,1.3862943611198906,10.308985993422082,1.3862943611198906,36.3,13.0,5.993961427306569,0.0,0.0,1.0,0.0,1.0,4.0,Africa
Timor-Leste,0.6931471805599453,0.0,0.6931471805599453,9.210440366976517,0.6931471805599453,44.3,13.0,6.398594934535208,0.0,1.0,0.0,0.0,1.0,4.0,Asia
Togo,0.6931471805599453,0.0,0.6931471805599453,9.210440366976517,0.6931471805599453,37.0,13.0,5.707110264748875,0.0,0.0,1.0,0.0,1.0,4.0,Africa
Tonga,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,0.6931471805599453,58.5,58.5,3.713572066704308,0.0,0.0,1.0,0.0,1.0,4.0,Oceania
Trinidad and Tobago,1.791759469228055,0.0,1.791759469228055,11.002116507732017,2.772588722239781,84.7,84.7,5.442417710521793,0.0,0.0,1.0,0.0,1.0,4.0,Latin America
Tunisia,1.9459101490553132,0.0,1.9459101490553132,12.100717685412471,4.110873864173311,66.8,66.8,6.918695219020472,0.0,0.0,1.0,1.0,1.0,5.0,Middle East
Türkiye,3.4965075614664802,0.0,3.4965075614664802,12.676079399771027,4.795790545596741,50.0,82.0,6.478509642208569,0.0,0.0,1.0,1.0,1.0,6.0,Europe
Turkmenistan,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,0.6931471805599453,34.9,34.9,5.25227342804663,0.0,0.0,1.0,0.0,1.0,4.0,Asia
Tuvalu,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,0.6931471805599453,5.0,13.0,4.61512051684126,0.0,0.0,1.0,0.0,0.0,4.0,Oceania
Uganda,1.9459101490553132,0.0,1.9459101490553132,10.308985993422082,2.1972245773362196,28.0,28.0,6.660575149839686,0.0,0.0,1.0,0.0,1.0,6.0,Africa
Ukraine,4.02535169073515,0.0,4.02535169073515,12.676079399771027,5.017279836814924,82.4,82.4,6.862757913051401,0.0,0.0,1.0,1.0,1.0,5.0,Europe
United Arab Emirates,3.4657359027997265,0.6931471805599453,3.4657359027997265,13.017005083966255,5.303304908059076,60.0,99.0,7.473637108496206,0.0,0.0,1.0,1.0,1.0,7.0,Middle East
Uruguay,2.302585092994046,0.0,2.302585092994046,10.308985993422082,3.58351893845611,98.0,90.9,6.674561391814426,0.0,0.0,1.0,1.0,1.0,6.0,Latin America
Uzbekistan,1.3862943611198906,0.0,1.3862943611198906,10.12667110305036,2.1972245773362196,98.0,98.0,7.244941546337007,0.0,0.0,1.0,0.0,1.0,1.0,Asia
Vanuatu,1.0986122886681098,0.0,1.0986122886681098,9.61587214452889,1.0986122886681098,35.0,35.0,5.303304908059076,0.0,0.0,1.0,0.0,1.0,4.0,Oceania
Venezuela,1.9459101490553132,0.0,1.9459101490553132,10.819798284210286,3.044522437723423,44.0,44.0,5.707110264748875,0.0,0.0,1.0,0.0,1.0,5.0,Latin America
Vietnam,3.4965075614664802,0.6931471805599453,3.4965075614664802,13.017005083966255,4.983606621708336,80.7,80.7,7.490529402060711,0.0,0.0,1.0,1.0,1.0,6.0,Asia
Yemen,0.6931471805599453,0.0,0.6931471805599453,8.987321812850125,0.0,45.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Middle East
Zambia,1.0986122886681098,0.0,1.0986122886681098,9.61587214452889,1.3862943611198906,33.0,33.0,6.4457198193855785,0.0,0.0,1.0,0.0,1.0,4.0,Africa
Zimbabwe,1.0986122886681098,0.0,1.0986122886681098,9.680406499268875,1.791759469228055,3.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Africa
